Order ID,Product Name,Discount,Sales,Profit,Quantity,Category,Sub-Category
AZ-2011-1029887,"Novimex Color Coded Labels, 5000 Label Set",0,26,7,2,Office Supplies,Labels
AZ-2011-107716,"Deflect-O Door Stop, Erganomic",0,85,15,2,Furniture,Furnishings
AZ-2011-1087704,"Belkin Flash Drive, Bluetooth",0,294,109,7,Technology,Accessories
AZ-2011-1372644,"Panasonic Printer, Durable",0,800,168,3,Technology,Machines
AZ-2011-1362199,"Sanford Pens, Fluorescent",0.5,25,-11,4,Office Supplies,Art
AZ-2011-1114253,"Tenex Stacking Tray, Black",0,76,11,3,Furniture,Furnishings
AZ-2011-1116129,"Avery Binding Machine, Durable",0,252,15,5,Office Supplies,Binders
AZ-2011-1137571,"Stiletto Letter Opener, Easy Grip",0,90,17,3,Office Supplies,Supplies
AZ-2011-1174243,"Nokia Audio Dock, with Caller ID",0,1334,200,8,Technology,Phones
AZ-2011-122598,"Avery Removable Labels, Alphabetical",0,32,6,3,Office Supplies,Labels
AZ-2011-1229073,"Deflect-O Door Stop, Black",0,88,3,2,Furniture,Furnishings
AZ-2011-1240916,"Boston Canvas, Water Color",0,284,43,5,Office Supplies,Art
AZ-2011-1253407,"Safco Stackable Bookrack, Pine",0.1,541,156,4,Furniture,Bookcases
AZ-2011-1087704,"Belkin Flash Drive, Bluetooth",0,294,109,7,Technology,Accessories
AZ-2011-1260928,"Eldon File Cart, Single Width",0.1,576,51,5,Office Supplies,Storage
AZ-2011-1278696,"Acco Binder, Clear",0,44,14,3,Office Supplies,Binders
AZ-2011-1279238,"Kleencut Scissors, Easy Grip",0,96,21,4,Office Supplies,Supplies
AZ-2011-130330,"Office Star Chairmat, Adjustable",0.1,307,99,5,Furniture,Chairs
AZ-2011-1406494,"Fellowes Lockers, Industrial",0.1,748,283,4,Office Supplies,Storage
AZ-2011-1315772,"Breville Toaster, Black",0,152,44,2,Office Supplies,Appliances
AZ-2011-1322840,"Motorola Headset, with Caller ID",0,957,316,12,Technology,Phones
AZ-2011-1328316,"Office Star Bag Chairs, Set of Two",0.5,87,-78,3,Furniture,Chairs
AZ-2011-1331897,"Avery Binder Covers, Economy",0,33,10,3,Office Supplies,Binders
AZ-2011-1332474,"OIC Thumb Tacks, Bulk Pack",0,28,10,2,Office Supplies,Fasteners
AZ-2011-1335871,"Tenex Shelving, Blue",0.5,82,-74,3,Office Supplies,Storage
AZ-2011-1362199,"Sanford Pens, Fluorescent",0.5,25,-11,4,Office Supplies,Art
AZ-2011-1362591,"Tenex Light Bulb, Black",0,38,11,2,Furniture,Furnishings
AZ-2011-1366554,"Avery Index Tab, Durable",0,13,3,2,Office Supplies,Binders
AZ-2011-1372644,"Panasonic Printer, Durable",0,800,168,3,Technology,Machines
AZ-2011-1406494,"Fellowes Lockers, Industrial",0.1,748,283,4,Office Supplies,Storage
AZ-2011-1410648,"Nokia Smart Phone, Full Size",0,1908,820,3,Technology,Phones
AZ-2011-144325,"Bush Stackable Bookrack, Pine",0,630,132,5,Furniture,Bookcases
AZ-2011-1445249,"Boston Pens, Fluorescent",0,46,8,3,Office Supplies,Art
AZ-2011-1445262,"Apple Smart Phone, Cordless",0,636,140,1,Technology,Phones
